Hyllpaikka,Tekijä,Nimeke,Lainojen lkm.,ISBN/ISSN,Julkaisuvuosi
"0.51, 05.1, 79.15051, 84.2",,Hevoshullu.,19665,0356-5483,1972-01-01
"0.51, 05.1, 66.051, 82.144051, 85.32, 85.32051, AKU",,Aku Ankka.,12972,0355-2101,1955-01-01
05.1,,Anna.,10400,0355-3035,1975-01-01
"., 05.1, 82.144051, 85.32, 85.32051",,Karvinen - Garfield.,9567,0789-8010,1990-01-01
"05.1, 65, 65.051, 65.4021, 65.4051, 68.051, SUU",,Suuri käsityölehti.,8373,1236-3855,1993-01-01
"05.1, 68.051, 69.051",,Kodin kuvalehti.,8325,0023-2610,1967-01-01
"01.5, 05.1, 68.051, KOT",,Kotiliesi.,7826,0023-4281,1923-01-01
"05.1, 78.81051, 79.81051",,Pelit.,7349,1235-1199,1992-01-01
"05.1, 68.4, 76.051, AVO",,Avotakka.,6659,0355-2950,1967-01-01
"05.1, 60.051, 61.051, 62, 62.051",,TM : Tekniikan maailma.,6500,0355-4287,1974-01-01
"05.01, 05.1, 84.2",,Systeri.,5979,1795-1631,2004-01-01
"05.1, 59.3, 59.3051",,Kauneus ja terveys.,5643,0047-3308,1956-01-01
"05.1, DEM",,Demi.,5594,1456-1433,1998-01-01
"05.1, 84.2",,ET-lehti,5570,0785-0913,1982-01-01
05.1,,Tieteen kuvalehti.,5559,0903-5583,1986-01-01
"05.1, 2013, 59.051, KOT",,Kotilääkäri,5327,0787-9385,1978-01-01
"05.1, 68.051",,Kotivinkki.,5076,0359-8713,1982-01-01
"05.1, 66, 66.051, Lainattavat lehdet, MEI",,Meidän talo : kodin rakentajan ja kunnostajan lehti.,5044,1455-2825,1997-01-01
"0.51, 05.1, 59.051, HYV",,Hyvä terveys,4961,1236-3081,1993-01-01
"05.1, 79.15051",,Villivarsa.,4886,0781-5638,1984-01-01
05.1,,Me naiset.,4462,0025-6277,1952-01-01
05.1,,Seura.,4092,0358-8017,1979-01-01
05.1,,Apu.,4033,0355-3051,1972-01-01
"00, 05.1, 68, 68.051, 84.2",,Koti ja keittiö.,3960,1458-3755,1996-01-01
"05.1, 65, 65.051, 65.4, 65.4051, MOD",,Moda.,3859,1459-692X,2004-01-01
"05.1, 67, 67.3, 67.3051",,Kotipuutarha,3682,0355-8673,1941-01-01
"05.1, 59, 59.6, 59.6051",,Kaksplus.,3595,0355-4252,1969-01-01
"05.1, 65, 65.4051, 65.424051",,Ottobre design.,3560,1457-2192,2000-01-01
"05.1, 59, 59.3051",,Kunto plus.,3525,0788-348X,1988-01-01
"05.1, SUO",,Suomen kuvalehti.,3429,0039-5552,1916-01-01
"84.2, 84.2 D, 84.2 JÄN","Jokinen, Seppo.",Vihan sukua,3415,978-952-289-047-4,2013-01-01
"05.1, 67.45, 67.45051",,Lemmikki.,3243,0787-6424,1990-01-01
05.1,,Eeva.,3220,0358-8351,1978-01-01
"05.1, 65.051",,"Tee itse : sisustus, korjaukset, työkalut, tarvikkeet, uutuudet.",3143,0788-5512,1987-01-01
"05.1, 82.144051, 85.32, 85.32051",,Roope-setä.,3044,0357-8755,1978-01-01
"05.1, 62, 62.051, 62.51051, 62.511",,Tuulilasi.,2957,0041-4468,1963-01-01
