Hyllypaikka,Tekijä,Nimeke,ISBN/ISSN,Julkaisuvuosi,Lainojen lkm.
84.2,"Jokinen, Seppo.",Mustat sydämet,978-952-289-136-5,2014,3547
84.2,"Rauhala, Pauliina.",Taivaslaulu,978-951-20-9128-7,2013,3482
84.2,"Nopola, Sinikka.",Risto Räppääjä ja viimeinen tötterö,978-951-31-3899-8,2007,2756
84.2 H ,"Nopola, Sinikka, kirjoittaja.",Risto Räppääjä ja kuuluisa Kamilla,978-951-31-4998-7,2009,2658
85.22,"Havukainen, Aino.",Tatun ja Patun kummat keksinnöt kautta aikojen,978-951-1-27544-2,2013,2571
84.2,"Nopola, Sinikka.",Risto Räppääjä ja villi kone,951-31-3732-5,2006,2437
84.2 D,"Jokinen, Seppo.",Vihan sukua,978-952-289-047-4,2013,2434
84.2 H,"Nopola, Sinikka, kirjoittaja.",Risto Räppääjä ja kaksoisolento,978-951-31-7348-7,2013,2373
85.22,"Havukainen, Aino.",Tatun ja Patun avaruusseikkailu,978-951-1-25460-7,2011,2364
77.4983,"Nopola, Sinikka, kirjoittaja.",Risto Räppääjä ja komea Kullervo,978-951-31-2550-9,2002,2353
84.2,"Nopola, Sinikka, kirjoittaja.",Risto Räppääjä ja Hilpuri Tilli,951-31-3116-5,2004,2351
84.2,"Nopola, Sinikka, kirjoittaja.","Hetki lyö, Risto Räppääjä",951-31-0995-X,1997,2307
85.22,"Havukainen, Aino.",Tatu ja Patu supersankareina,978-951-1-24541-4,2010,2285
85.12 LA,"Nopola, Sinikka, kirjoittaja.",Risto Räppääjä saa isän,978-951-31-5147-8,2011,2281
84.2,"Nopola, Sinikka, kirjoittaja.",Risto Räppääjä ja Nuudelipää,951-31-1478-3,2000,2256
84.2,"Nopola, Sinikka, kirjoittaja.",Risto Räppääjä ja kauhea makkara,951-31-1145-8,1998,2251
85.22,"Havukainen, Aino.",Tatu ja Patu päiväkodissa,978-951-1-19658-7,2004,2207
84.2,"Nopola, Sinikka, kirjoittaja.",Risto Räppääjä ja sitkeä finni,951-31-2772-9,2003,2195
85.22 KU,"Havukainen, Aino.",Tatu ja Patu työn touhussa,951-1-21314-8,2006,2179
