"","Hyllypaikka","Tekijä","Nimeke","Lainojen.lkm.","ISBN.ISSN","Julkaisuvuosi","Vuosi"
"2","","Steel, Danielle.","Lurjus",567,"978-951-0-37778-9","2011","2014"
"3"," 03 F","Harjanne, Maikki.","Minttu urheilee",573,"978-951-1-25427-0","01","2012"
"4"," 03 F","Kallioniemi, Tuula.","Karoliina ja nokkela Neema",545,"978-951-1-26984-7","01","2013"
"5"," 03F","Tuomola, Johanna.","Minkä taakseen jättää : jännitysromaani",506,"978-952-202-354-4","01","2012"
"6"," 05.1","Goodhart, Pippa.","Kakkutesti",556,"978-951-882-862-7","01","2013"
"7"," 05.1","Havukainen, Aino.","Tatu ja Patu päiväkodissa",1875,"978-951-1-19658-7","01","2013"
"8"," 05.1","Hietamies, Eve.","Tarhapäivä",1490,"978-951-1-25928-2","01","2012"
"9"," 05.1","Jungstedt, Mari.","Vaarallinen leikki",1611,"978-951-1-26962-5","2004","2013"
"10"," 05.1","Kunnas, Mauri.","Hyvää yötä, herra Hakkarainen",855,"951-1-16152-0","01","2012"
"11"," 05.1","Kyrö, Tuomas.","Mielensäpahoittaja ja ruskeakastike",1947,"978-951-0-39079-5","01","2012"
"12"," 05.1","Lehtolainen, Leena.","Oikeuden jalopeura",2302,"978-951-31-6219-1","01","2012"
"13"," 05.1","Nopola, Sinikka.","Risto Räppääjä ja Nuudelipää",2207,"951-31-1478-3","01","2013"
"14"," 05.1","Nopola, Sinikka.","Risto Räppääjä ja Nuudelipää",2391,"951-31-1478-3","01","2012"
"15"," 05.1","Tuominen, Pirjo.","Tuonelan joutsen",1835,"978-951-31-6218-4","2011","2012"
"16"," 15 Fan","Franzén, Peter.","Samoilla silmillä",677,"978-951-31-7431-6","01","2013"
"17"," 15 Fan","Pulkkinen, Riikka.","Vieras",737,"978-951-1-25640-3","01","2012"
"18"," 37.8","Parvela, Timo.","Ella ja Paterock",705,"951-31-3130-0","01","2012"
"19"," 37.8051","Louhi, Kristiina.","Tomppa ja kummaa",667,"978-951-31-4630-6","01","2013"
"20"," 40","Dragnić, Nataša.","Kanssasi aina",550,"978-951-1-25235-1","01","2012"
"21"," 40","Lehtolainen, Leena.","Väärän jäljillä",890,"978-951-31-4288-9","01","2012"
"22"," 40","Nesbø, Jo.","Aave",920,"978-951-0-38712-2","01","2013"
"23"," 40.051","Axelsson, Majgull.","Kuparienkeli",580,"978-951-0-38941-6","01","2013"
"24"," 40.7051","","Ankkojen maailmanhistoria. 1, [Esihistoria ja varhaiset korkeakulttuurit]",550,"978-951-32-2695-4","2011","2012"
"25"," 40.7051","Mäki, Reijo.","Kolmijalkainen mies",865,"978-951-1-24360-1","01","2012"
"26"," 41","Läckberg, Camilla.","Pahanilmanlintu",617,"978-951-50-1856-4","2011","2013"
"27"," 50","Harjula, Kristiina.","Pispalan kiviä",1082,"978-951-23-5570-9","01","2013"
"28"," 50","Havaste, Paula.","Kaksi rakkautta",734,"978-951-20-8206-3","01","2012"
"29"," 50","Mäki, Reijo.","Kolmijalkainen mies",601,"978-951-1-24360-1","01","2013"
"30"," 50","Orkoma, Marja.","Puistotie 4",984,"978-951-883-344-7","01","2012"
"31"," 50.1051","Guinness world records 2011","Guinness world records 2011",777,"978-951-32-2996-2","01","2013"
"32"," 59","Mäki, Reijo.","Sahanpururevolveri : kauneimmat kertomukset",1452,"978-951-1-26927-4","2012","2013"
"33"," 59","Pakkanen, Outi.","Julma kuu",1683,"978-952-5918-70-0","2004","2012"
"34"," 59","Roberts, Nora.","Rakkauden kynnyksellä",1423,"978-951-20-8810-2","01","2013"
"35"," 59.051","Ala-Harja, Riikka.","Maihinnousu : romaani",1189,"978-952-01-0805-2","01","2013"
"36"," 59.051","Hallberg, Lin.","Suuri seikkailu, Sinttu",1113,"978-951-31-5843-9","01","2012"
"37"," 59.051","Jokinen, Seppo.","Ajomies",1770,"978-952-5918-25-0","01","2013"
"38"," 59.051","Sipilä, Jarkko.","Muru",1633,"978-952-5918-24-3","01","2012"
"39"," 59.3051","Havukainen, Aino.","Tatun ja Patun oudot kojeet",1926,"951-1-20084-4","01","2012"
"40"," 59.3051","Lehtolainen, Leena.","Henkivartija",1265,"978-951-31-4530-9","01","2012"
"41"," 59.3051","Mustonen, Enni.","Paimentyttö",1847,"978-951-1-27207-6","2003","2013"
"42"," 59.6","Nesbø, Jo.","Aave",1343,"978-951-0-38712-2","2003","2012"
"43"," 59.6051","Mäki, Reijo.","Sheriffi",1446,"978-951-1-26321-0","01","2013"
"44"," 60","Roslund, Anders.","Kolme sekuntia",859,"978-951-0-38040-6","01","2012"
"45"," 60.051","Vaahtera, Veera.","Rakkautta, vahingossa",868,"978-951-31-7134-6","01","2013"
"46"," 60.7051","Parvela, Timo.","Ella ja Äf Yksi",965,"978-951-31-4315-2","2010","2012"
"47"," 61.051","Alsterdal, Tove.","Kadonneet",724,"978-951-20-8881-2","1999","2013"
"48"," 61.051","Gutman, Dan.","Tyrmäävä terkkari",517,"978-951-32-3493-5","01","2013"
"49"," 61.051","Hallberg, Lin.","Aprillia, Sinttu",978,"978-951-31-5249-9","01","2012"
"50"," 61.051","Havukainen, Aino.","Tatun ja Patun Suomi",1932,"978-951-1-21915-6","01","2013"
"51"," 61.051","Jokinen, Seppo.","Kuka sellaista tekisi",1046,"978-951-23-5000-1","01","2012"
"52"," 61.051","Liksom, Rosa.","Hytti nro 6 : kertomus",2012,"978-951-0-38274-5","01","2012"
"53"," 61.051","Lupton, Rosamund.","Sisar",684,"978-951-20-8755-6","01","2013"
"54"," 61.051","Steinhauer, Olen.","Pakotie",502,"978-951-0-38608-8","2011","2012"
"55"," 61.7405","Tinker Bell","Helinä-keiju",489,"978-951-32-2476-9","01","2012"
"56"," 62","Adler-Olsen, Jussi.","Metsästäjät",827,"978-951-20-8550-7","2013","2013"
"57"," 62","Havukainen, Aino.","Veera ja maatalon eläimet",1311,"951-1-17448-7","01","2013"
"58"," 62","Lehtolainen, Leena.","Henkivartija",875,"978-951-31-4530-9","01","2013"
"59"," 62","Orkoma, Marja.","Puistotie 4",986,"978-951-883-344-7","01","2013"
"60"," 62","Steel, Danielle.","Kunnioita itseäsi",946,"978-951-0-37192-3","2011","2012"
"61"," 62.051","Kivelä, Anneli.","Katajamäki yllättyy",1326,"978-951-23-5386-6","01","2012"
"62"," 62.051","Mustonen, Enni.","Jääleinikki",2006,"978-951-1-25423-2","2011","2012"
"63"," 62.051","Mustonen, Enni.","Kultarikko",1902,"978-951-1-26353-1","2000","2013"
"64"," 62.051","Parvela, Timo.","Ella ja seitsemän törppöä",857,"978-951-31-3895-0","01","2012"
"65"," 62.5","Hietamies, Eve.","Yösyöttö",852,"978-951-1-24221-5","01","2012"
"66"," 62.5051","Rowling, J. K.","Harry Potter ja Azkabanin vanki",825,"951-31-1737-5","01","2013"
"67"," 62.51","Kelly, Cathy.","Onnen ainekset",826,"978-951-20-8398-5","2009","2012"
"68"," 62.51051","Sipilä, Jarkko.","Valepoliisi",1309,"978-952-289-048-1","01","2013"
"69"," 62.511","Holt, Anne.","Kuoleman tahdissa",1321,"978-951-20-8542-2","2011","2012"
"70"," 62.512","Hassinen, Pirjo.","Rouva",945,"978-951-1-25420-1","01","2012"
"71"," 62.512","Parvela, Timo.","Ella : varokaa lapsia!",985,"951-31-3685-X","2013","2013"
"72"," 62.54051","Jarla, Pertti.","Fingerpori. 5",530,"978-952-270-031-5","01","2013"
"73"," 62.56","","Risto Räppääjä ja polkupyörävaras [Videotallenne]",586,"6420291105095","2010","2013"
"74"," 62.56","Knutsson, Gösta.","Pekka Töpöhännän ystävä",620,"951-20-3977-X","01","2013"
"75"," 62.58","Pättikangas, Eira.","Jäljet veräjällä",959,"978-951-23-5445-0","01","2012"
"76"," 65","Bergström, Gunilla.","Mikko Mallikas menee kouluun",529,"951-31-0893-7","2010","2012"
"77"," 65","Nopola, Sinikka.","Risto Räppääjä : erittäin salainen - top secret",1496,"978-951-31-4473-9","01","2013"
"78"," 65","Nopola, Sinikka.","Risto Räppääjä ja Hilpuri Tilli",2363,"951-31-3116-5","01","2012"
"79"," 65","Nopola, Sinikka.","Risto Räppääjä ja kauhea makkara",2356,"951-31-1145-8","2006","2013"
"80"," 65","Tuominen, Pirjo.","Muistatko Marjatan? : jännitysromaani",1444,"978-951-31-7364-7","01","2013"
"81"," 65","Wieslander, Jujja.","Lehmä saa laastarin",1010,"978-951-882-596-1","01","2013"
"82"," 65.051","Adler, Elizabeth.","Barcelonan katujen kuiske",1097,"978-951-20-9123-2","2013","2013"
"83"," 65.051","Hiekkapelto, Kati.","Kolibri",952,"978-951-1-26732-4","01","2013"
"84"," 65.051","Jansson, Anna.","Murhan alkemia",882,"978-951-20-8783-9","01","2012"
"85"," 65.051","Kallioniemi, Tuula.","Kaahailua ja kepposia",943,"978-951-1-25347-1","1988","2013"
"86"," 65.051","Kesävuori, Saara.","Saarroksissa",830,"978-951-31-6852-0","2011","2013"
"87"," 65.051","Kunnas, Mauri.","Herra Hakkaraisen seitsemän ihmettä",1372,"978-951-1-22929-2","2012","2012"
"88"," 65.051","Läckberg, Camilla.","Majakanvartija",1256,"978-951-20-8808-9","01","2013"
"89"," 65.051","Rissanen, Pirjo.","Äitienpäivä",1216,"978-951-20-8479-1","01","2012"
"90"," 65.051","Ropponen, Markku.","Kuhala & jokimurhat",1346,"978-951-31-7130-8","01","2013"
"91"," 65.051","Ropponen, Markku.","Kuhala & yöjuna",1408,"978-951-31-6598-7","01","2012"
"92"," 65.051","Sandberg, Timo.","Vainooja : rikosromaani",680,"978-951-23-5537-2","01","2012"
"93"," 65.4","Brown, Sandra.","Nopeita leikkauksia",997,"978-951-31-6140-8","01","2012"
"94"," 65.4","Havukainen, Aino.","Tatun ja Patun oudot aakkoset",1490,"978-951-1-23687-0","01","2013"
"95"," 65.4021","Nopola, Sinikka.","Risto Räppääjä ja Hilpuri Tilli",2299,"951-31-3116-5","01","2013"
"96"," 65.4021","Nopola, Sinikka.","Risto Räppääjä ja sitkeä finni",2320,"9789513127725","2011","2012"
"97"," 65.4051","Havukainen, Aino.","Veera lääkärissä",1271,"9789511160182","01","2012"
"98"," 65.4051","Roberts, Nora.","Valkokankaan varjot",1353,"978-951-20-8411-1","01","2012"
"99"," 65.4051","Tuuri, Antti.","Rauta-antura : romaani",1008,"978-951-1-25969-5","01","2013"
